ward_code,ward,lga,state,worldpop_total,meta_total,meta_u5,grid3_v3_total,worldpop_u5
BA1802,Tilde,Toro,Bauchi,62474.8,59308.4,11749.3,62531.0,12729.3
JI1110,Tsangarwa,Gwaram,Jigawa,38797.0,42480.7,8757.6,46275.8,7880.1
KN2707,Sarkin Kura,Kura,Kano,9353.9,14071.7,2652.5,13762.7,2807.4
JI0407,Karanga,Biriniwa,Jigawa,17509.4,15850.1,3232.7,16608.2,3544.5
40807,Tandama,Danja,Katsina,21634.9,21260.4,4500.2,24675.4,4534.8
42009,Tafashiya Nasarawa,Kankia,Katsina,17569.7,16002.6,3394.9,21044.9,3673.0
JI1910,Shuwarin,Kiyawa,Jigawa,37428.8,37437.4,7874.1,38066.9,8020.5
KN0609,Kumurya,Bunkure,Kano,27007.8,27472.2,5444.4,29677.5,5581.4
JI0503,Chirbin,Buji,Jigawa,7507.1,10725.2,2182.9,13186.6,1510.6
42501,Borindawa,Malumfashi,Katsina,18189.3,11022.8,2323.2,14806.7,3778.9
40608,Radda,Charanchi,Katsina,33762.7,7010.4,1478.0,19404.5,7179.8
BA1613,Dango,Shira,Bauchi,20124.6,18736.9,3753.9,15027.9,3972.1
BA1912,Wando,Warji,Bauchi,6817.7,5228.5,1080.5,5536.5,1388.7
NASLFA11,Shabu Kwandare,Lafia,Nasarawa,41443.2,44409.5,8352.0,43080.1,7694.7
NASLFA07,Ciroma,Lafia,Nasarawa,67469.2,64103.9,12055.7,82785.1,13072.9
KGSBAS03,Ayede / Akakana,Bassa,Kogi,16058.9,16928.8,3223.1,8084.3,3033.0
KGSBAS06,Ikende,Bassa,Kogi,11699.2,14315.8,2727.8,6689.5,2193.0
KN0401,Anadariya,Bebeji,Kano,8589.7,9204.0,1841.5,7171.1,1855.4
EBSNKE03,Amana,Ezza South,Ebonyi,8034.5,7002.6,923.5,6988.1,1025.4
NASAKW11,Nunku,Akwanga,Nasarawa,1709.0,1175.4,199.5,1770.3,283.5
NASAKW03,Akwanga West,Akwanga,Nasarawa,37418.0,38543.2,6540.8,40266.1,6376.4
NASAKW02,Akwanga East,Akwanga,Nasarawa,36982.7,36906.6,6269.3,42653.8,6345.1
NASAKW01,Agyaga,Akwanga,Nasarawa,13974.3,12568.1,2132.8,14420.3,2318.0
BA0603,Bununu Central,Dass,Bauchi,11629.5,15245.2,3119.1,12310.5,3154.7
NASAKW05,Andaha,Akwanga,Nasarawa,6732.6,7439.4,1262.5,10122.6,1117.3
NASAWE03,Galadima,Awe,Nasarawa,2393.2,1832.6,346.2,3577.3,449.8
NASAWE04,Jangaru,Awe,Nasarawa,16532.5,19715.0,4083.8,12538.5,3380.4
NASAWE02,Azara,Awe,Nasarawa,16347.9,14234.6,2941.0,21359.7,3318.7
NASAWE01,Akiri,Awe,Nasarawa,4211.4,4952.6,1026.6,3025.0,857.8
NASDMA10,Sarkin-Dawaki,Doma,Nasarawa,7846.7,3697.3,735.7,9608.1,1643.2
NASDMA08,Rukubi,Doma,Nasarawa,9508.4,6287.5,1214.6,30644.4,1830.5
NASDMA06,Madaki,Doma,Nasarawa,19697.4,26165.5,5200.7,26431.6,4055.1
NASDMA02,Akpanaja,Doma,Nasarawa,55752.5,70364.3,13994.8,37012.0,13228.7
NASGRU11,Yelwa,Kokona,Nasarawa,1064.3,1062.2,206.1,1489.0,202.8
NASGRU09,Koya,Kokona,Nasarawa,2251.6,1902.6,366.4,4258.0,425.4
NASGRU03,Bassa,Kokona,Nasarawa,571.9,312.1,60.6,747.0,108.8
NASGRU01,Agwada,Kokona,Nasarawa,1695.9,921.2,178.8,3532.1,326.6
NASGRU04,Dari,Kokona,Nasarawa,20770.0,21097.4,4094.0,24187.0,3960.3
NASKEF03,Goriya,Keffi,Nasarawa,23268.2,24225.6,4464.4,22790.7,4254.6
NASKEF10,Yara,Keffi,Nasarawa,8866.3,7751.7,1329.1,11673.9,1662.7
43004,Kadandani,Rimi,Katsina,16032.2,17368.9,3703.9,20049.1,3452.4
NASKEN09,Obene,Keana,Nasarawa,6262.3,4834.2,925.2,2205.3,1315.8
KGSMPA05,Lieteju 1,Mopa-Muro,Kogi,3731.5,4249.0,700.1,4933.7,597.8
NASKEN05,Iwagu,Keana,Nasarawa,14529.0,15418.2,2950.9,11704.8,3306.4
NASKEN02,Aloshi,Keana,Nasarawa,10666.9,10548.3,2033.1,9498.1,2068.3
