ward_code,ward,lga,state,worldpop_total,meta_total,meta_u5,grid3_v3_total,worldpop_u5
GMSNFD10,Nafada West,Nafada,Gombe,5267.4,3425.9,619.7,4472.8,934.0
GMSAKK07,Kumo North,Akko,Gombe,7082.3,10003.7,1963.1,33481.8,1360.0
GMSKLT03,Bule / Kaltin,Kaltungo,Gombe,6053.0,4612.7,902.7,4962.3,1160.2
GMSKWM08,Kwami,Kwami,Gombe,61564.8,64773.0,12955.6,113646.6,12057.8
GMSNFD07,Jigawa,Nafada,Gombe,9380.4,17023.8,3079.5,11628.3,1663.3
GMSDKU02,Hashidu,Dukku,Gombe,10493.5,11575.8,2312.7,13419.2,2056.2
GMSKLT07,Tungo,Kaltungo,Gombe,13426.2,13576.7,2689.3,13133.7,2601.7
GMSNFD09,Nafada East,Nafada,Gombe,14766.2,7188.7,1300.4,10266.8,2618.3
GMSKLT05,Kaltungo West,Kaltungo,Gombe,65424.3,57121.6,11496.1,57602.6,12886.0
GMSBLR01,Banganje North,Billiri,Gombe,14151.7,13859.6,2765.0,13684.3,2762.8
GMSKLT09,Wange,Kaltungo,Gombe,30330.9,28525.1,5582.6,22647.0,5813.6
GMSBLG05,Gelengu,Balanga,Gombe,54577.0,57501.4,11376.4,72102.7,10559.4
GMSKLT10,Yiri,Kaltungo,Gombe,6850.8,6314.9,1237.8,4780.6,1315.1
GMSBLG03,Dadiya,Balanga,Gombe,16924.5,9734.7,1963.5,16154.0,3345.0
GMSDKU11,Zaune,Dukku,Gombe,15201.2,7999.5,1598.2,17204.7,2978.7
GMSBLG07,Mona,Balanga,Gombe,22476.5,29017.9,5849.4,38020.6,4441.4
GMSYDB10,Nono / Kunuwal / Wuro Birdeka,Yamaltu/Deba,Gombe,13805.3,9700.7,1906.4,48769.7,2655.2
GMSSHM08,Kushi,Shomgom,Gombe,13483.0,12952.8,2608.6,13816.6,2657.2
GMSAKK06,Kumo East,Akko,Gombe,29794.6,16558.2,3266.2,64756.5,5763.1
GMSNFD05,Birin Fulani West,Nafada,Gombe,14230.9,14435.1,2611.3,19877.2,2523.4
GMSFKY03,Bajoga East,Funakaye,Gombe,58237.2,52921.7,9859.1,56484.3,10608.4
GMSSHM06,Gwandum,Shomgom,Gombe,25713.1,29460.4,5844.4,32590.6,5013.8
GMSYDB04,Jagali North,Yamaltu/Deba,Gombe,37232.3,32952.4,6512.1,84550.6,7225.4
GMSBLR05,Billiri South,Billiri,Gombe,81933.4,75470.3,15087.7,66652.9,16022.9
GMSYDB02,Gwani / Shinga / Wade,Yamaltu/Deba,Gombe,53373.5,57479.8,11327.6,89267.2,10339.4
GMSSHM04,Filiya,Shomgom,Gombe,26576.5,26885.4,5411.7,30552.2,5235.3
GMSNFD01,Barwo Nasarawo,Nafada,Gombe,8477.4,9450.2,1709.5,11282.2,1503.2
GMSBLR07,Tal,Billiri,Gombe,33402.1,38206.5,7638.1,27730.4,6532.1
GMSSHM02,Boh,Shomgom,Gombe,12575.0,13864.2,2792.7,10598.6,2478.4
GMSKWM07,Komfulata,Kwami,Gombe,19174.6,20272.2,3985.6,46097.9,3689.5
GMSAKK08,Kumo West,Akko,Gombe,31412.5,31805.9,6272.8,86326.6,6070.6
GMSNFD03,Birin Bolawa,Nafada,Gombe,17824.2,24527.3,4535.9,26020.7,3224.0
GMSFKY02,Bage,Funakaye,Gombe,67142.4,54682.2,10126.5,59212.2,12144.2
GMSKWM05,Gadam,Kwami,Gombe,43082.6,45533.8,9198.2,44176.1,8538.9
GMSAKK10,Tukulma,Akko,Gombe,13346.0,10982.3,2155.1,52548.5,2562.9
GMSFKY10,Wawa / Wakkaltu,Funakaye,Gombe,7832.4,5376.1,1001.5,9323.0,1426.7
GMSBLR03,Bare,Billiri,Gombe,36951.4,32806.9,6558.6,26808.4,7226.2
GMSKWM03,Doho,Kwami,Gombe,36850.1,24680.3,4988.6,48638.7,7307.0
GMSKLT02,Baule Central,Kaltungo,Gombe,10601.8,9927.7,1942.9,8173.3,2032.1
GMSGME01,Ajiya,Gombe,Gombe,21433.2,22976.7,4508.9,42299.6,4115.9
GMSDKU06,Malala,Dukku,Gombe,24303.4,29832.5,5963.4,33853.8,4765.6
GMSBLG08,Nyuwar / Jessu,Balanga,Gombe,18351.1,14739.3,2973.4,22431.2,3632.0
GMSYDB08,Lano / Kuri / Lambam,Yamaltu/Deba,Gombe,35760.5,52705.1,10367.6,80353.1,6905.4
GMSAKK02,Garko,Akko,Gombe,126434.2,133987.8,26293.3,355903.3,24279.7
GMSKLT06,Kamo,Kaltungo,Gombe,37498.2,38202.6,7522.0,38706.6,7232.5
GMSDKU04,Kunde,Dukku,Gombe,8963.9,12255.6,2497.0,13122.8,1789.4
GMSBLR09,Todi,Billiri,Gombe,18605.7,16282.5,3259.6,14635.1,3647.3
GMSSHM10,Lapan,Shomgom,Gombe,20404.4,25420.7,5120.6,18752.0,4022.1
GMSKLT04,Kaltungo East,Kaltungo,Gombe,38058.7,37750.3,7578.4,29553.5,7483.2
